#,Categoria,Bench,Página,Insight,Descrição,Print 1,Print 2,Print 3
16,UX,gummy.com.br / desincha.com.br,CP,,Adicionar botões com sub-filters nas coleções,/_gummy/20.png,,
17,Clareza,essentialnutrition.com.br,HP,,Product cards com benefícios claros,/_essential/2.png,,
18,Clareza,essentialnutrition.com.br,HP,,Diferencial de marca com seção dedicada,/_essential/3.png,,
19,Clareza,essentialnutrition.com.br,CP,,Ingredientes claros em baixo de cada product card,/_essential/4.png,,
20,AOV Booster,essentialnutrition.com.br,PP,,Seção de conheça outros produtos,/_essential/5.png,,
21,Benefícios,essentialnutrition.com.br,PP,Seção dedicada para benefícios,Seção dedicada com benefício claro para todos produtos com forte apelo visual,/_essential/6.png,/_essential/7.png,
22,Clareza,essentialnutrition.com.br,PP,Seção dedicada de ingredientes,Clareza nos ingredientes com botões clicáveis para checar as características de cada componente,/_essential/8.png,,
23,Confiança,essentialnutrition.com.br,PP,Controle de qualidade,Materiais de controle de qualidade para download,/_essential/9.png,,
24,Benefícios,essentialnutrition.com.br,PP,Explicação do componente,Explicação do benefício dos componentes principais dos produtos,/_essential/10.png,,
25,Clareza,finistore.com.br,HP,Foto do produto com a gummy,Mostrar não só a embalagem como a balinha fora do bottle também,/_drgood/1.png,,
26,Clareza,finistore.com.br,HP,,Deixar claro a quantidade por pote,/_drgood/1.png,,
27,UX,finistore.com.br,HP,,Seção de cadastro de newsletter claro e destacado,/_drgood/2.png,,
28,Clareza,desincha.com.br,HP,Seção dedicada sobre a marca,Descrição clara do que somos,/_desincha/2.png,,
29,Benefícios,desincha.com.br,HP,No-list section,No section explorando que ingredientes são evitados e características,/_desincha/3.png,,
30,Benefícios,desincha.com.br,PP,,Imagens de galeria com badges de promoções,/_desincha/6.png,,
31,Clareza,desincha.com.br,PP,,Seção clara de como usar,/_desincha/7.png,,
32,Clareza,desincha.com.br,PP,Seção dedicada sobre formato,Seção dedicada sobre o formato e sabor com emojis,/_desincha/9.png,,
33,Clareza,desincha.com.br / lojamaismu.com.br,PP,Seção dedicada sobre sabor,Seção dedicada sobre o sabor de cada produto em específico,/_desincha/10.png,/_maismu/10.png,
34,Benefícios,desincha.com.br,PP,Adicionar mais seções de benefícios,Seção dedicada sobre cada benefício ao invés de só falar de forma geral sobre todos benefícios,/_desincha/11.png,,
35,Benefícios,desincha.com.br,PP,Seção dedicada como CTA final,Repetição de CTA relembrando benefício,/_desincha/12.png,,
36,UX,boldsnacks.com.br,HP,Monte seu kit,Banner com combinação de combos usando pop-up e cart de desbloqueio,/_bold/1.png,/_bold/5.png,
37,Benefícios,boldsnacks.com.br,HP,,Propriedades / badges sobre cada produto,/_bold/2.png,,
38,AOV Booster,boldsnacks.com.br,HP,,Banner único com chamada para algum produto ou promoção,/_bold/3.png,,
39,Clareza,boldsnacks.com.br,HP,,FAQ na home,/_bold/4.png,,
40,UX,boldsnacks.com.br,HP,Compra rápida,Botão de compra rápida no mobile,/_bold/6.png,/_bold/11.png,
41,UX,boldsnacks.com.br,Menu,Termos de pesquisa populares,Termos de pesquisa mais buscados junto com a barra de pesquisa,/_bold/7.png,,
42,Benefícios,boldsnacks.com.br,PP,Cashback,Cashback para compras futuras,/_bold/8.png,,
43,AOV Booster,boldsnacks.com.br,PP,Kits montados,Kits montados reforçando ângulo de frete grátis com chamada para ação clara,/_bold/9.png,,
44,UX,boldsnacks.com.br,Cart,Frete no carrinho,Cálculo de frete no carirnho com hyperlink,/_bold/10.png,,
45,UX,lojamaismu.com.br,HP,Cards de produto no topo,Cards de produtos apresentados de forma muito clara depois da primeira dobra,/_maismu/2.png,,
46,UX,lojamaismu.com.br,PP,Títulos com infos,Título com informações úteis (benefício + quantidade),/_maismu/5.png,,
47,UX,lojamaismu.com.br,Checkout,,Checkout em etapas,/_maismu/6.png,,
48,Benefícios,lojamaismu.com.br,PP,Pureza da creatina,"Benefício da pureza da creatina claro na galeria de imagens, sendo benefício principal",/_maismu/7.png,,
49,Benefícios,lojamaismu.com.br,PP,,Clareza de quanto tempo dura o produto,/_maismu/8.png,,
50,Benefícios,lojamaismu.com.br,PP,,Seção dedicada apresentando outros sabores,/_maismu/11.png,,
